File,Function,Kind,TypeAnnotation,UnrolledTypeAnnotation,TypeVarsSummary,Error,Warning,VarCnt,HasWhere,VarsUsedOnce,UseSiteVariance,ImprUseSiteVariance,RestrictedScope,Package
src/WeakValueDict.jl,WeakValueDict,mtsig,"Tuple{Vararg{Pair{K, V} where K}} where V","Tuple{Vararg{Pair{K, V} where K}} where V","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:K, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:V, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,true,true,false,../data/ta-info/all/AbstractAlgebra.jl
src/AcceleratedArray.jl,Base.IndexStyle,mtsig,"Tuple{Type{AcceleratedArray{<:Any, <:Any, A, <:Any}}} where A","Tuple{Type{((AcceleratedArray{var""##ANON_TV#338"", var""##ANON_TV#339"", A, var""##ANON_TV#340""} where var""##ANON_TV#338"" <: Any) where var""##ANON_TV#339"" <: Any) where var""##ANON_TV#340"" <: Any}} where A","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#338""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#339""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#340""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:A, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCWhere, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,4,true,true,true,true,false,../data/ta-info/all/AcceleratedArrays.jl
src/Multivariate/TensorSpace.jl,Base.findfirst,mtsig,"(Tuple{Tensorizer{Tuple{<:AbstractFill{S}, <:AbstractFill{T}}}, Tuple{Int, Int}} where T) where S","(Tuple{Tensorizer{(Tuple{var""##ANON_TV#392"", var""##ANON_TV#393""} where var""##ANON_TV#392"" <: AbstractFill{S}) where var""##ANON_TV#393"" <: AbstractFill{T}}, Tuple{Int, Int}} where T) where S","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#392""), :(Union{}), :(AbstractFill{S}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCTuple)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#393""), :(Union{}), :(AbstractFill{T}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCTuple, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], list(JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:S, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)], nil(JuliaSub.TypeConstructor))], false)",false,false,4,true,true,true,true,false,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Vararg{(Pair{var""##ANON_TV#426"", var""##ANON_TV#427""} where var""##ANON_TV#426"" <: Integer) where var""##ANON_TV#427"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#426""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#427""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,true,true,false,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Vararg{(Pair{var""##ANON_TV#428"", var""##ANON_TV#429""} where var""##ANON_TV#428"" <: Integer) where var""##ANON_TV#429"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#428""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#429""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,true,true,false,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Any, Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Any, Vararg{(Pair{var""##ANON_TV#430"", var""##ANON_TV#431""} where var""##ANON_TV#430"" <: Integer) where var""##ANON_TV#431"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#430""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#431""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,true,true,false,../data/ta-info/all/ApproxFunBase.jl
src/Operators/systems.jl,diagm_container,mtsig,"Tuple{Any, Vararg{Pair{<:Integer, <:AbstractVector{O}}}} where O <: Operator","Tuple{Any, Vararg{(Pair{var""##ANON_TV#432"", var""##ANON_TV#433""} where var""##ANON_TV#432"" <: Integer) where var""##ANON_TV#433"" <: AbstractVector{O}}} where O <: Operator","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#432""), :(Union{}), :Integer, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(Symbol(""##ANON_TV#433""), :(Union{}), :(AbstractVector{O}), DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:O, :(Union{}), :Operator, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCUpBnd, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,3,true,true,true,true,false,../data/ta-info/all/ApproxFunBase.jl
src/AnnotatedArrays.jl,AnnotatedArray,mtsig,"Tuple{AbstractArray, Vararg{Pair{K, <:Any}}} where K","Tuple{AbstractArray, Vararg{Pair{K, var""##ANON_TV#480""} where var""##ANON_TV#480"" <: Any}} where K","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#480""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:K, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,true,true,false,../data/ta-info/all/ArrayTools.jl
src/vector_of_arrays.jl,Base.vcat,mtsig,"Tuple{Vararg{VectorOfArrays{U, N} where U}} where N","Tuple{Vararg{VectorOfArrays{U, N} where U}} where N","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:U, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple, JuliaSub.TCWhere)), JuliaSub.TyVarSummary(:N, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar, JuliaSub.TCWhere, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,2,true,true,true,true,false,../data/ta-info/all/ArraysOfArrays.jl
src/eltypes.jl,finaljuliatype,mtsig,"Tuple{Type{Union{T, Missing}}} where T","Tuple{Type{Union{T, Missing}}} where T","(JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(:T, :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCUnion, JuliaSub.TCInvar, JuliaSub.TCTuple)], nil(JuliaSub.TypeConstructor))], false)",false,false,1,true,true,true,true,false,../data/ta-info/all/Arrow.jl
