File,Function,Kind,TypeAnnotation
"docs/make.jl","_link_example","mtsig","Tuple{Any}"
"docs/make.jl","_file_list","mtsig","Tuple{Any, Any, Any}"
"docs/make.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make.jl","<NA-name>","mtsig","Tuple{Any}"
"docs/make.jl","_include_sandbox","mtsig","Tuple{Any}"
"docs/make.jl","_literate_directory","mtsig","Tuple{Any}"
"docs/make.jl","_add_moi_pages","mtsig","Tuple{}"
"docs/make.jl","_add_to_set","mtsig","Tuple{Any, String}"
"docs/make.jl","_add_to_set","mtsig","Tuple{Any, Pair}"
"docs/make.jl","_add_to_set","mtsig","Tuple{Any, Vector}"
"docs/make.jl","_validate_pages","mtsig","Tuple{}"
"docs/src/assets/logo_constructor.jl","_logo_no_text","mtsig","Tuple{String}"
"docs/src/assets/logo_constructor.jl","_jump_text_outlines","mtsig","Tuple{String}"
"docs/src/assets/logo_constructor.jl","logo_with_text","mtsig","Tuple{String, String, String, Bool}"
"docs/src/assets/logo_constructor.jl","logo_square","mtsig","Tuple{String, String, Bool}"
"docs/src/assets/logo_constructor.jl","logo_no_text","mtsig","Tuple{String, String}"
"docs/src/assets/logo_constructor.jl","color","mtsig","Tuple{Any}"
"docs/src/assets/logo_constructor.jl","dark_color","mtsig","Tuple{Any}"
"docs/src/tutorials/algorithms/benders_decomposition.jl","solve_subproblem","mtsig","Tuple{Any}"
"docs/src/tutorials/algorithms/benders_decomposition.jl","print_iteration","mtsig","Tuple{Any, Vararg{Any}}"
"docs/src/tutorials/algorithms/benders_decomposition.jl","f","mtsig","Tuple{Any}"
"docs/src/tutorials/algorithms/benders_decomposition.jl","my_callback","mtsig","Tuple{Any}"
"docs/src/tutorials/algorithms/cutting_stock_column_generation.jl","Base.show","mtsig","Tuple{IO, Data}"
"docs/src/tutorials/algorithms/cutting_stock_column_generation.jl","get_data","mtsig","Tuple{}"
"docs/src/tutorials/algorithms/cutting_stock_column_generation.jl","solve_pricing","mtsig","Tuple{Data, Vector{Float64}}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","generate_distance_matrix","mtsig","Tuple{Any, Any}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","build_tsp_model","mtsig","Tuple{Any, Any}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","subtour","mtsig","Tuple{Vector{Tuple{Int, Int}}, Any}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","selected_edges","mtsig","Tuple{Matrix{Float64}, Any}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","subtour","mtsig","Tuple{Matrix{Float64}}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","subtour","mtsig","Tuple{AbstractMatrix{VariableRef}}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","plot_tour","mtsig","Tuple{Any, Any, Any}"
"docs/src/tutorials/algorithms/tsp_lazy_constraints.jl","subtour_elimination_callback","mtsig","Tuple{Any}"
"docs/src/tutorials/applications/power_systems.jl","ThermalGenerator","mtsig","Tuple{Float64, Float64, Float64, Float64}"
"docs/src/tutorials/applications/power_systems.jl","WindGenerator","mtsig","Tuple{Float64}"
"docs/src/tutorials/applications/power_systems.jl","Scenario","mtsig","Tuple{Float64, Float64}"
"docs/src/tutorials/applications/power_systems.jl","solve_ed","mtsig","Tuple{Vector, Any, Any}"
"docs/src/tutorials/applications/power_systems.jl","scale_generator_cost","mtsig","Tuple{Any, Any}"
"docs/src/tutorials/applications/power_systems.jl","solve_ed_inplace","mtsig","Tuple{Vector, Any, Any, AbstractVector{Float64}}"
"docs/src/tutorials/applications/power_systems.jl","scale_demand","mtsig","Tuple{Any, Any}"
"docs/src/tutorials/applications/power_systems.jl","solve_uc","mtsig","Tuple{Vector, Any, Any}"
"docs/src/tutorials/applications/power_systems.jl","thermal_cost_function","mtsig","Tuple{Any}"
"docs/src/tutorials/applications/power_systems.jl","solve_nonlinear_ed","mtsig","Tuple{Vector, Any, Any, Bool}"
