File,Function,Kind,TypeAnnotation,UnrolledTypeAnnotation,TypeVarsSummary,Error,Warning,VarCnt,HasWhere,VarsUsedOnce,UseSiteVariance,ImprUseSiteVariance,ExistInInv,RestrictedScope,ClosedLowerBound,TrivConsistBounds,Package
src/run.jl,Base.run,mtsig,"Tuple{PyObject, Union{PyObject, Array{PyObject}, Array{Any}, Tuple}, Vararg{Pair{PyObject, <:Any}}, Vararg{Any}}","Tuple{PyObject, Union{PyObject, Array{PyObject}, Array{Any}, Tuple}, Vararg{Pair{PyObject, var""##ANON_TV#408""} where var""##ANON_TV#408"" <: Any}, Vararg{Any}}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#408""), :(Union{}), :Any, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar, JuliaSub.TCTuple))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADCME.jl
src/metrics/pareto.jl,nds,retty,Vector{Vector{<:Int}},"Vector{Vector{var""##ANON_TV#347""} where var""##ANON_TV#347"" <: Int}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#347""), :(Union{}), :Int, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_trajectory,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#360""} where var""##ANON_TV#360"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#360""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,<NOT A FUNSIG>,tyassorann,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#361""} where var""##ANON_TV#361"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#361""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_raw,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#362""} where var""##ANON_TV#362"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#362""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_raw,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#363""} where var""##ANON_TV#363"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#363""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_total_cover,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#370""} where var""##ANON_TV#370"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#370""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_total_cover,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#371""} where var""##ANON_TV#371"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#371""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_relative_cover,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#372""} where var""##ANON_TV#372"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#372""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
src/metrics/temporal.jl,summarize_relative_cover,retty,"Dict{Symbol, AbstractArray{<:Real}}","Dict{Symbol, AbstractArray{var""##ANON_TV#373""} where var""##ANON_TV#373"" <: Real}","JuliaSub.TyVarSummary[JuliaSub.TyVarSummary(Symbol(""##ANON_TV#373""), :(Union{}), :Real, DataStructures.LinkedList{JuliaSub.TypeConstructor}[list(JuliaSub.TCInvar)], list(JuliaSub.TCInvar))]",false,false,1,true,true,true,true,true,true,true,true,data/ta-info/all/ADRIA.jl
