File,Name,Kind,TypeDeclaration,Supertype,Error,Warning,VarCnt,ProcessedTypeDecl,ProcessedSuper,TyDeclUseSiteVariance,SuperUseSiteVariance,TyDeclImpUseSiteVariance,SuperImpUseSiteVariance,TrivConsistBounds,Package
src/classic.jl,TiledArray,tdstrc,"TiledArray{T, N, AT <: AbstractArray{T, N}, RT}","AbstractArray{T, N}",false,false,4,"(((TiledArray{T, N, AT, RT} where RT) where AT <: AbstractArray{T, N}) where N) where T","(((AbstractArray{T, N} where RT) where AT) where N) where T",false,true,true,true,true,data/ta-info/all/ADI.jl
src/chains.jl,DescendingChain,tdstrc,"DescendingChain{T, S, V <: AbstractVector{Rotator{T, S}}}","AbstractRotatorChain{T, S}",false,false,3,"((DescendingChain{T, S, V} where V <: AbstractVector{Rotator{T, S}}) where S) where T","((AbstractRotatorChain{T, S} where V) where S) where T",false,true,true,true,true,data/ta-info/all/AMRVW.jl
src/chains.jl,AscendingChain,tdstrc,"AscendingChain{T, S, V <: AbstractVector{Rotator{T, S}}}","AbstractRotatorChain{T, S}",false,false,3,"((AscendingChain{T, S, V} where V <: AbstractVector{Rotator{T, S}}) where S) where T","((AbstractRotatorChain{T, S} where V) where S) where T",false,true,true,true,true,data/ta-info/all/AMRVW.jl
src/chains.jl,TwistedChain,tdstrc,"TwistedChain{T, S, V <: AbstractVector{Rotator{T, S}}, PVt <: AbstractVector{Symbol}}","AbstractRotatorChain{T, S}",false,false,4,"(((TwistedChain{T, S, V, PVt} where PVt <: AbstractVector{Symbol}) where V <: AbstractVector{Rotator{T, S}}) where S) where T","(((AbstractRotatorChain{T, S} where PVt) where V) where S) where T",false,true,true,true,true,data/ta-info/all/AMRVW.jl
src/rfactorization.jl,RFactorizationUpperTriangular,tdstrc,"RFactorizationUpperTriangular{T, S, Rt <: AbstractArray{S, 2}}","AbstractRFactorization{T, S}",false,false,3,"((RFactorizationUpperTriangular{T, S, Rt} where Rt <: AbstractArray{S, 2}) where S) where T","((AbstractRFactorization{T, S} where Rt) where S) where T",false,true,true,true,true,data/ta-info/all/AMRVW.jl
src/rotators.jl,DiagonalRotator,tdstrc,"DiagonalRotator{T, S}","AbstractRotator{S, S}",false,false,2,"(DiagonalRotator{T, S} where S) where T","(AbstractRotator{S, S} where S) where T",true,false,true,true,true,data/ta-info/all/AMRVW.jl
src/multivariatearchmodel.jl,MultivariateARCHModel,tdmtbl,"MultivariateARCHModel{T <: AbstractFloat, d, VS <: MultivariateVolatilitySpec{T, d}, SD <: MultivariateStandardizedDistribution{T, d}, MS <: MeanSpec{T}}",ARCHModel,false,false,5,"((((MultivariateARCHModel{T, d, VS, SD, MS} where MS <: MeanSpec{T}) where SD <: MultivariateStandardizedDistribution{T, d}) where VS <: MultivariateVolatilitySpec{T, d}) where d) where T <: AbstractFloat",((((ARCHModel where MS) where SD) where VS) where d) where T,false,true,true,true,true,data/ta-info/all/ARCHModels.jl
src/univariatearchmodel.jl,UnivariateARCHModel,tdmtbl,"UnivariateARCHModel{T <: AbstractFloat, VS <: UnivariateVolatilitySpec, SD <: StandardizedDistribution{T}, MS <: MeanSpec{T}}",ARCHModel,false,false,4,"(((UnivariateARCHModel{T, VS, SD, MS} where MS <: MeanSpec{T}) where SD <: StandardizedDistribution{T}) where VS <: UnivariateVolatilitySpec) where T <: AbstractFloat",(((ARCHModel where MS) where SD) where VS) where T,false,true,true,true,true,data/ta-info/all/ARCHModels.jl
src/univariatearchmodel.jl,UnivariateSubsetARCHModel,tdmtbl,"UnivariateSubsetARCHModel{T <: AbstractFloat, VS <: UnivariateVolatilitySpec, SD <: StandardizedDistribution{T}, MS <: MeanSpec{T}, N}",ARCHModel,false,false,5,"((((UnivariateSubsetARCHModel{T, VS, SD, MS, N} where N) where MS <: MeanSpec{T}) where SD <: StandardizedDistribution{T}) where VS <: UnivariateVolatilitySpec) where T <: AbstractFloat",((((ARCHModel where N) where MS) where SD) where VS) where T,false,true,true,true,true,data/ta-info/all/ARCHModels.jl
src/iterateTimelineTable.jl,IterateFixedTable,tdstrc,"IterateFixedTable{T, N, CL <: Union{Symbol, String}, COL <: Union{MatrixTerm, SVector{N, Symbol}}}",Any,false,false,4,"(((IterateFixedTable{T, N, CL, COL} where COL <: Union{MatrixTerm, SVector{N, Symbol}}) where CL <: Union{Symbol, String}) where N) where T",(((Any where COL) where CL) where N) where T,false,true,true,true,true,data/ta-info/all/AbnormalReturns.jl
